entropy,totalFlips,cb,flips,variables,ratio,tries,flipsPerSecond,clauses,earlyRestarts,sat
9.4620,14000000,0.0000,50000,1000,4.2000,28,22880.9011,4200,0,0
9.4703,14000000,0.0000,50000,1000,4.2000,28,22902.1006,4200,0,0
9.4466,14000000,0.0000,50000,1000,4.2000,28,22830.3890,4200,0,0
9.4677,14000000,0.0000,50000,1000,4.2000,28,22874.3325,4200,0,0
9.4708,14000000,0.0000,50000,1000,4.2000,28,22771.2682,4200,0,0
9.4683,14000000,0.0000,50000,1000,4.2000,28,22676.0489,4200,0,0
9.4594,14000000,0.0000,50000,1000,4.2000,28,22648.1311,4200,0,0
9.4474,14000000,0.0000,50000,1000,4.2000,28,22668.1341,4200,0,0
9.4701,14000000,0.0000,50000,1000,4.2000,28,22874.7068,4200,0,0
9.4594,14000000,0.0000,50000,1000,4.2000,28,22894.9243,4200,0,0
9.4715,14000000,0.0000,50000,1000,4.2000,28,23000.2634,4200,0,0
9.4674,14000000,0.0000,50000,1000,4.2000,28,22784.7648,4200,0,0
9.4626,14000000,0.0000,50000,1000,4.2000,28,22694.1837,4200,0,0
9.4760,14000000,0.0000,50000,1000,4.2000,28,22866.0456,4200,0,0
9.4640,14000000,0.0000,50000,1000,4.2000,28,22753.3275,4200,0,0
9.4567,14000000,0.0000,50000,1000,4.2000,28,22685.9182,4200,0,0
9.4602,14000000,0.0000,50000,1000,4.2000,28,22853.2741,4200,0,0
9.4626,14000000,0.0000,50000,1000,4.2000,28,22939.5896,4200,0,0
9.4531,14000000,0.0000,50000,1000,4.2000,28,22972.5997,4200,0,0
9.4688,14000000,0.0000,50000,1000,4.2000,28,22847.2719,4200,0,0
9.4298,13500000,0.0000,50000,1000,4.2000,27,22491.3296,4200,0,0
9.4700,14000000,0.0000,50000,1000,4.2000,28,22849.2910,4200,0,0
9.4582,14000000,0.0000,50000,1000,4.2000,28,22698.7040,4200,0,0
9.4670,14000000,0.0000,50000,1000,4.2000,28,22739.7525,4200,0,0
9.4565,14000000,0.0000,50000,1000,4.2000,28,22898.9229,4200,0,0
9.4540,14000000,0.0000,50000,1000,4.2000,28,22805.6758,4200,0,0
9.4597,14000000,0.0000,50000,1000,4.2000,28,22715.5496,4200,0,0
9.4679,14000000,0.0000,50000,1000,4.2000,28,22858.3401,4200,0,0
9.4309,13500000,0.0000,50000,1000,4.2000,27,22493.2398,4200,0,0
9.4667,14000000,0.0000,50000,1000,4.2000,28,22656.4263,4200,0,0
9.4671,14000000,0.0000,50000,1000,4.2000,28,22574.5214,4200,0,0
9.4711,14000000,0.0000,50000,1000,4.2000,28,22605.3033,4200,0,0
9.4715,14000000,0.0000,50000,1000,4.2000,28,22902.1825,4200,0,0
