totalFlips,clauses,tries,cb,ratio,flips,earlyRestarts,variables,lastRunEntropy,sat,entropy,flipsPerSecond
7250000,2000,29,1.5000,4.0000,25000,0,500,0.9750,0,0.9397,24044.3163
347375,2000,14,1.5000,4.0000,22375,0,500,0.9659,1,0.9684,25056.6065
10393,2000,1,1.5000,4.0000,10393,0,500,0.9553,1,0.9553,77923.2444
71427,2000,3,1.5000,4.0000,21427,0,500,0.9724,1,0.9710,31877.4746
12166,2000,1,1.5000,4.0000,12166,0,500,0.9555,1,0.9555,70327.7027
1940,2000,1,1.5000,4.0000,1940,0,500,0.8964,1,0.8964,266172.6525
94825,2000,4,1.5000,4.0000,19825,0,500,0.9670,1,0.9661,29314.5206
122087,2000,5,1.5000,4.0000,22087,0,500,0.9702,1,0.9712,27721.4837
272214,2000,11,1.5000,4.0000,22214,0,500,0.9668,1,0.9690,25504.6509
24473,2000,1,1.5000,4.0000,24473,0,500,0.9689,1,0.9689,47787.7659
73739,2000,3,1.5000,4.0000,23739,0,500,0.9656,1,0.9710,31502.7279
20683,2000,1,1.5000,4.0000,20683,0,500,0.9673,1,0.9673,51045.0564
6540,2000,1,1.5000,4.0000,6540,0,500,0.9470,1,0.9470,106930.4367
18186,2000,1,1.5000,4.0000,18186,0,500,0.9723,1,0.9723,54043.1266
109835,2000,5,1.5000,4.0000,9835,0,500,0.9600,1,0.9636,28438.9357
115230,2000,5,1.5000,4.0000,15230,0,500,0.9551,1,0.9643,27858.4849
17878,2000,1,1.5000,4.0000,17878,0,500,0.9632,1,0.9632,50670.6657
90385,2000,4,1.5000,4.0000,15385,0,500,0.9693,1,0.9711,29688.4082
6950,2000,1,1.5000,4.0000,6950,0,500,0.9540,1,0.9540,102590.7302
56454,2000,3,1.5000,4.0000,6454,0,500,0.9575,1,0.9620,32713.8843
7467,2000,1,1.5000,4.0000,7467,0,500,0.9551,1,0.9551,96689.1850
29793,2000,2,1.5000,4.0000,4793,0,500,0.9516,1,0.9595,42027.9350
39969,2000,2,1.5000,4.0000,14969,0,500,0.9618,1,0.9658,36952.0329
19885,2000,1,1.5000,4.0000,19885,0,500,0.9619,1,0.9619,52199.2761
5319,2000,1,1.5000,4.0000,5319,0,500,0.9427,1,0.9427,115743.9821
110451,2000,5,1.5000,4.0000,10451,0,500,0.9587,1,0.9665,28315.9910
7022,2000,1,1.5000,4.0000,7022,0,500,0.9469,1,0.9469,88022.6094
