flips,sat,earlyRestarts,entropy,lastRunEntropy,totalFlips,flipsPerSecond,ratio,clauses,variables,tries,cb
16277,1,0,0.9479,0.9570,116277,28250.5343,4.0000,2000,500,5,2.0000
15752,1,0,0.9451,0.9451,15752,59823.5029,4.0000,2000,500,1,2.0000
22306,1,0,0.9557,0.9515,122306,27928.8168,4.0000,2000,500,5,2.0000
17029,1,0,0.9406,0.9406,17029,55656.4686,4.0000,2000,500,1,2.0000
17144,1,0,0.9433,0.9308,67144,32286.2048,4.0000,2000,500,3,2.0000
4097,1,0,0.9014,0.9014,4097,152359.9154,4.0000,2000,500,1,2.0000
4771,1,0,0.9296,0.9296,4771,136507.2309,4.0000,2000,500,1,2.0000
8354,1,0,0.9322,0.9322,8354,91099.8296,4.0000,2000,500,1,2.0000
10847,1,0,0.9456,0.9376,35847,38686.0717,4.0000,2000,500,2,2.0000
11921,1,0,0.9370,0.9370,11921,70874.1854,4.0000,2000,500,1,2.0000
5469,1,0,0.9246,0.9246,5469,121967.8909,4.0000,2000,500,1,2.0000
4244,1,0,0.9168,0.9168,4244,147541.0190,4.0000,2000,500,1,2.0000
10512,1,0,0.9484,0.9484,10512,73114.9284,4.0000,2000,500,1,2.0000
3039,1,0,0.9299,0.9299,3039,188656.1442,4.0000,2000,500,1,2.0000
5009,1,0,0.8943,0.8943,5009,130863.2267,4.0000,2000,500,1,2.0000
13617,1,0,0.9364,0.9364,13617,64939.7808,4.0000,2000,500,1,2.0000
19760,1,0,0.9451,0.9451,19760,51345.3540,4.0000,2000,500,1,2.0000
11986,1,0,0.9476,0.9544,36986,37923.4681,4.0000,2000,500,2,2.0000
7450,1,0,0.9156,0.9156,7450,96951.9802,4.0000,2000,500,1,2.0000
14197,1,0,0.9627,0.9627,14197,61421.0524,4.0000,2000,500,1,2.0000
7778,1,0,0.9310,0.9310,7778,95252.4412,4.0000,2000,500,1,2.0000
13284,1,0,0.9424,0.9424,13284,66760.6845,4.0000,2000,500,1,2.0000
23658,1,0,0.9478,0.9478,23658,48113.1472,4.0000,2000,500,1,2.0000
6675,1,0,0.9366,0.9366,6675,104916.8900,4.0000,2000,500,1,2.0000
10272,1,0,0.9485,0.9485,10272,76058.2789,4.0000,2000,500,1,2.0000
10293,1,0,0.9395,0.9200,160293,26183.8275,4.0000,2000,500,7,2.0000
2445,1,0,0.8997,0.8997,2445,216717.7619,4.0000,2000,500,1,2.0000
24137,1,0,0.9531,0.9531,24137,47471.8262,4.0000,2000,500,1,2.0000
4184,1,0,0.9088,0.9088,4184,146790.5300,4.0000,2000,500,1,2.0000
14352,1,0,0.9339,0.9339,14352,62841.1346,4.0000,2000,500,1,2.0000
16632,1,0,0.9479,0.9441,116632,27657.1958,4.0000,2000,500,5,2.0000
18222,1,0,0.9366,0.9366,18222,53976.4294,4.0000,2000,500,1,2.0000
6096,1,0,0.9320,0.9310,31096,39402.9160,4.0000,2000,500,2,2.0000
18679,1,0,0.9577,0.9536,43679,36333.9223,4.0000,2000,500,2,2.0000
13785,1,0,0.9497,0.9305,113785,28294.6291,4.0000,2000,500,5,2.0000
6312,1,0,0.9096,0.9096,6312,110253.1820,4.0000,2000,500,1,2.0000
17014,1,0,0.9467,0.9467,17014,57108.0802,4.0000,2000,500,1,2.0000
8388,1,0,0.9400,0.9400,8388,88687.7228,4.0000,2000,500,1,2.0000
14726,1,0,0.9536,0.9536,14726,62690.9141,4.0000,2000,500,1,2.0000
5600,1,0,0.9410,0.9410,5600,121453.3464,4.0000,2000,500,1,2.0000
4409,1,0,0.9268,0.9268,4409,142708.2295,4.0000,2000,500,1,2.0000
23995,1,0,0.9576,0.9525,223995,25896.9743,4.0000,2000,500,9,2.0000
22919,1,0,0.9542,0.9542,22919,48411.6224,4.0000,2000,500,1,2.0000
9681,1,0,0.9376,0.8968,59681,32694.2573,4.0000,2000,500,3,2.0000
