sat,earlyRestarts,clauses,cb,flipsPerSecond,flips,ratio,tries,totalFlips,entropy,variables
0,0,4000,0.0000,23577.5945,50000,4.0000,29,14500000,9.4654,1000
0,0,4000,0.0000,23527.9974,50000,4.0000,29,14500000,9.4625,1000
0,0,4000,0.0000,23500.5902,50000,4.0000,29,14500000,9.4589,1000
0,0,4000,0.0000,23470.5349,50000,4.0000,29,14500000,9.4594,1000
0,0,4000,0.0000,23328.5247,50000,4.0000,28,14000000,9.4586,1000
0,0,4000,0.0000,23277.0136,50000,4.0000,28,14000000,9.4437,1000
0,0,4000,0.0000,23151.3431,50000,4.0000,28,14000000,9.4363,1000
0,0,4000,0.0000,23446.8477,50000,4.0000,29,14500000,9.4646,1000
0,0,4000,0.0000,23573.7891,50000,4.0000,29,14500000,9.4536,1000
0,0,4000,0.0000,23638.9490,50000,4.0000,29,14500000,9.4536,1000
0,0,4000,0.0000,23804.3180,50000,4.0000,29,14500000,9.4516,1000
0,0,4000,0.0000,23668.3109,50000,4.0000,29,14500000,9.4661,1000
0,0,4000,0.0000,23489.8991,50000,4.0000,29,14500000,9.4514,1000
0,0,4000,0.0000,23567.2535,50000,4.0000,29,14500000,9.4668,1000
0,0,4000,0.0000,23521.4869,50000,4.0000,29,14500000,9.4626,1000
0,0,4000,0.0000,23488.8344,50000,4.0000,29,14500000,9.4648,1000
0,0,4000,0.0000,23727.8658,50000,4.0000,29,14500000,9.4602,1000
0,0,4000,0.0000,23736.2606,50000,4.0000,29,14500000,9.4598,1000
0,0,4000,0.0000,23695.4415,50000,4.0000,29,14500000,9.4521,1000
0,0,4000,0.0000,23623.9990,50000,4.0000,29,14500000,9.4527,1000
0,0,4000,0.0000,23664.2882,50000,4.0000,29,14500000,9.4635,1000
0,0,4000,0.0000,23520.3608,50000,4.0000,29,14500000,9.4395,1000
0,0,4000,0.0000,23648.8524,50000,4.0000,29,14500000,9.4656,1000
0,0,4000,0.0000,23677.0012,50000,4.0000,29,14500000,9.4598,1000
0,0,4000,0.0000,23515.8935,50000,4.0000,29,14500000,9.4544,1000
0,0,4000,0.0000,23524.4116,50000,4.0000,29,14500000,9.4450,1000
0,0,4000,0.0000,23509.9587,50000,4.0000,29,14500000,9.4551,1000
0,0,4000,0.0000,23557.9272,50000,4.0000,29,14500000,9.4618,1000
0,0,4000,0.0000,23644.8986,50000,4.0000,29,14500000,9.4750,1000
0,0,4000,0.0000,23595.8409,50000,4.0000,29,14500000,9.4547,1000
0,0,4000,0.0000,23603.2923,50000,4.0000,29,14500000,9.4598,1000
0,0,4000,0.0000,23688.9395,50000,4.0000,29,14500000,9.4579,1000
0,0,4000,0.0000,23361.1385,50000,4.0000,29,14500000,9.4366,1000
0,0,4000,0.0000,23504.0262,50000,4.0000,29,14500000,9.4528,1000
0,0,4000,0.0000,23401.6808,50000,4.0000,29,14500000,9.4555,1000
0,0,4000,0.0000,23318.6402,50000,4.0000,28,14000000,9.4349,1000
0,0,4000,0.0000,23392.7049,50000,4.0000,29,14500000,9.4642,1000
0,0,4000,0.0000,23408.7284,50000,4.0000,29,14500000,9.4544,1000
0,0,4000,0.0000,23450.4406,50000,4.0000,29,14500000,9.4574,1000
0,0,4000,0.0000,23514.2779,50000,4.0000,29,14500000,9.4723,1000
0,0,4000,0.0000,23328.4123,50000,4.0000,28,14000000,9.4409,1000
0,0,4000,0.0000,23330.8785,50000,4.0000,29,14500000,9.4693,1000
0,0,4000,0.0000,23368.2427,50000,4.0000,29,14500000,9.4663,1000
0,0,4000,0.0000,23326.7589,50000,4.0000,29,14500000,9.4597,1000
0,0,4000,0.0000,23758.7797,50000,4.0000,29,14500000,9.4652,1000
0,0,4000,0.0000,23637.6041,50000,4.0000,29,14500000,9.4601,1000
0,0,4000,0.0000,23507.0740,50000,4.0000,29,14500000,9.4587,1000
0,0,4000,0.0000,23645.3537,50000,4.0000,29,14500000,9.4562,1000
0,0,4000,0.0000,23548.5333,50000,4.0000,29,14500000,9.4456,1000
0,0,4000,0.0000,23460.3121,50000,4.0000,29,14500000,9.4445,1000
0,0,4000,0.0000,23463.4558,50000,4.0000,29,14500000,9.4584,1000
0,0,4000,0.0000,23582.8770,50000,4.0000,29,14500000,9.4456,1000
0,0,4000,0.0000,23527.0797,50000,4.0000,29,14500000,9.4584,1000
0,0,4000,0.0000,23528.3355,50000,4.0000,29,14500000,9.4562,1000
0,0,4000,0.0000,23588.2679,50000,4.0000,29,14500000,9.4691,1000
0,0,4000,0.0000,23561.9990,50000,4.0000,29,14500000,9.4546,1000
0,0,4000,0.0000,23550.3122,50000,4.0000,29,14500000,9.4515,1000
0,0,4000,0.0000,23712.0643,50000,4.0000,29,14500000,9.4609,1000
0,0,4000,0.0000,23724.7777,50000,4.0000,29,14500000,9.4570,1000
0,0,4000,0.0000,23716.9607,50000,4.0000,29,14500000,9.4534,1000
0,0,4000,0.0000,23465.5712,50000,4.0000,29,14500000,9.4539,1000
0,0,4000,0.0000,23423.2596,50000,4.0000,29,14500000,9.4599,1000
0,0,4000,0.0000,23316.8166,50000,4.0000,28,14000000,9.4306,1000
0,0,4000,0.0000,23557.7644,50000,4.0000,29,14500000,9.4583,1000
0,0,4000,0.0000,23437.1029,50000,4.0000,29,14500000,9.4501,1000
0,0,4000,0.0000,23319.3738,50000,4.0000,29,14500000,9.4616,1000
0,0,4000,0.0000,23378.6558,50000,4.0000,29,14500000,9.4616,1000
0,0,4000,0.0000,23471.2581,50000,4.0000,29,14500000,9.4634,1000
0,0,4000,0.0000,23809.7297,50000,4.0000,29,14500000,9.4671,1000
0,0,4000,0.0000,23686.3595,50000,4.0000,29,14500000,9.4518,1000
0,0,4000,0.0000,23770.1360,50000,4.0000,29,14500000,9.4442,1000
0,0,4000,0.0000,23866.4585,50000,4.0000,29,14500000,9.4661,1000
0,0,4000,0.0000,23668.7206,50000,4.0000,29,14500000,9.4508,1000
0,0,4000,0.0000,23677.5967,50000,4.0000,29,14500000,9.4661,1000
0,0,4000,0.0000,23679.1507,50000,4.0000,29,14500000,9.4653,1000
0,0,4000,0.0000,23595.6327,50000,4.0000,29,14500000,9.4534,1000
0,0,4000,0.0000,23652.8746,50000,4.0000,29,14500000,9.4661,1000
0,0,4000,0.0000,23660.2030,50000,4.0000,29,14500000,9.4687,1000
0,0,4000,0.0000,23574.9194,50000,4.0000,29,14500000,9.4675,1000
0,0,4000,0.0000,23736.1401,50000,4.0000,29,14500000,9.4593,1000
0,0,4000,0.0000,23583.5802,50000,4.0000,29,14500000,9.4722,1000
0,0,4000,0.0000,23471.6763,50000,4.0000,29,14500000,9.4447,1000
0,0,4000,0.0000,23533.7994,50000,4.0000,29,14500000,9.4574,1000
0,0,4000,0.0000,23413.3303,50000,4.0000,29,14500000,9.4676,1000
0,0,4000,0.0000,23638.8278,50000,4.0000,29,14500000,9.4649,1000
0,0,4000,0.0000,23593.5549,50000,4.0000,29,14500000,9.4596,1000
0,0,4000,0.0000,23591.0380,50000,4.0000,29,14500000,9.4639,1000
0,0,4000,0.0000,23632.1850,50000,4.0000,29,14500000,9.4502,1000
0,0,4000,0.0000,23731.7169,50000,4.0000,29,14500000,9.4662,1000
0,0,4000,0.0000,23646.8610,50000,4.0000,29,14500000,9.4573,1000
0,0,4000,0.0000,23810.7494,50000,4.0000,29,14500000,9.4545,1000
0,0,4000,0.0000,23716.1313,50000,4.0000,29,14500000,9.4603,1000
0,0,4000,0.0000,23547.2831,50000,4.0000,29,14500000,9.4581,1000
0,0,4000,0.0000,23587.7803,50000,4.0000,29,14500000,9.4627,1000
0,0,4000,0.0000,23536.0260,50000,4.0000,29,14500000,9.4590,1000
0,0,4000,0.0000,23547.5959,50000,4.0000,29,14500000,9.4577,1000
0,0,4000,0.0000,23408.3240,50000,4.0000,29,14500000,9.4523,1000
0,0,4000,0.0000,23325.6074,50000,4.0000,28,14000000,9.4528,1000
0,0,4000,0.0000,23556.2925,50000,4.0000,29,14500000,9.4676,1000
0,0,4000,0.0000,23408.9241,50000,4.0000,29,14500000,9.4553,1000
0,0,4000,0.0000,23686.7530,50000,4.0000,29,14500000,9.4733,1000
0,0,4000,0.0000,23603.9722,50000,4.0000,29,14500000,9.4649,1000
0,0,4000,0.0000,23596.8570,50000,4.0000,29,14500000,9.4686,1000
0,0,4000,0.0000,23567.0123,50000,4.0000,29,14500000,9.4576,1000
0,0,4000,0.0000,23347.4980,50000,4.0000,29,14500000,9.4451,1000
0,0,4000,0.0000,23240.0575,50000,4.0000,28,14000000,9.4460,1000
0,0,4000,0.0000,23390.1978,50000,4.0000,29,14500000,9.4521,1000
0,0,4000,0.0000,23318.6654,50000,4.0000,28,14000000,9.4460,1000
0,0,4000,0.0000,23578.5565,50000,4.0000,29,14500000,9.4680,1000
0,0,4000,0.0000,23580.3142,50000,4.0000,29,14500000,9.4510,1000
0,0,4000,0.0000,23592.6321,50000,4.0000,29,14500000,9.4616,1000
