sat,earlyRestarts,flipsPerSecond,totalFlips,flips,cb,minEntropy,variables,lastRunEntropy,ratio,tries,entropy,clauses
1,0,448528.8500,173,173,2.3000,0.0000,100,0.8528,4.1000,1,0.8528,410
1,0,60578.5211,3405,3405,2.3000,0.0000,100,0.9322,4.1000,1,0.9322,410
1,0,197648.9884,607,607,2.3000,0.0000,100,0.9216,4.1000,1,0.9216,410
1,0,45367.5167,5859,859,2.3000,0.0000,100,0.9163,4.1000,2,0.9281,410
0,0,24475.6014,2450000,5000,2.3000,0.0000,100,0.9226,4.1000,49,0.9119,410
1,0,40716.2652,5782,782,2.3000,0.0000,100,0.8886,4.1000,2,0.9020,410
1,0,88983.6168,1795,1795,2.3000,0.0000,100,0.9060,4.1000,1,0.9060,410
1,0,75934.7829,2279,2279,2.3000,0.0000,100,0.9424,4.1000,1,0.9424,410
1,0,38239.5619,8518,3518,2.3000,0.0000,100,0.8997,4.1000,2,0.9166,410
1,0,39370.8987,7431,2431,2.3000,0.0000,100,0.8980,4.1000,2,0.9166,410
0,0,24774.5350,2500000,5000,2.3000,0.0000,100,0.9554,4.1000,50,0.9070,410
1,0,41036.7949,6873,1873,2.3000,0.0000,100,0.9192,4.1000,2,0.9302,410
1,0,53819.2489,4096,4096,2.3000,0.0000,100,0.9582,4.1000,1,0.9582,410
1,0,492252.4831,161,161,2.3000,0.0000,100,0.8585,4.1000,1,0.8585,410
0,0,24929.1224,2500000,5000,2.3000,0.0000,100,0.9292,4.1000,50,0.9314,410
1,0,37169.1690,8142,3142,2.3000,0.0000,100,0.9362,4.1000,2,0.9279,410
0,0,24628.8344,2500000,5000,2.3000,0.0000,100,0.9307,4.1000,50,0.9065,410
1,0,122647.2068,1173,1173,2.3000,0.0000,100,0.8340,4.1000,1,0.8340,410
1,0,84285.5769,1937,1937,2.3000,0.0000,100,0.9468,4.1000,1,0.9468,410
1,0,122932.0787,1141,1141,2.3000,0.0000,100,0.9447,4.1000,1,0.9447,410
1,0,47672.4663,3027,3027,2.3000,0.0000,100,0.9424,4.1000,1,0.9424,410
1,0,69302.1895,2652,2652,2.3000,0.0000,100,0.9316,4.1000,1,0.9316,410
1,0,98367.4798,1501,1501,2.3000,0.0000,100,0.8466,4.1000,1,0.8466,410
1,0,503008.1972,156,156,2.3000,0.0000,100,0.8273,4.1000,1,0.8273,410
0,0,24483.8287,2450000,5000,2.3000,0.0000,100,0.9233,4.1000,49,0.9132,410
1,0,517543.1275,141,141,2.3000,0.0000,100,0.8510,4.1000,1,0.8510,410
1,0,26828.4444,43809,3809,2.3000,0.0000,100,0.9205,4.1000,9,0.9179,410
1,0,44342.6449,5916,916,2.3000,0.0000,100,0.9257,4.1000,2,0.9405,410
1,0,67781.3784,2751,2751,2.3000,0.0000,100,0.8439,4.1000,1,0.8439,410
1,0,680867.3969,80,80,2.3000,0.0000,100,0.8128,4.1000,1,0.8128,410
1,0,335678.9217,287,287,2.3000,0.0000,100,0.7925,4.1000,1,0.7925,410
1,0,52351.1804,3945,3945,2.3000,0.0000,100,0.9301,4.1000,1,0.9301,410
1,0,143764.0700,923,923,2.3000,0.0000,100,0.9293,4.1000,1,0.9293,410
1,0,87075.1442,1055,1055,2.3000,0.0000,100,0.8607,4.1000,1,0.8607,410
1,0,33322.3148,11237,1237,2.3000,0.0000,100,0.9133,4.1000,3,0.9253,410
1,0,312126.3330,317,317,2.3000,0.0000,100,0.9198,4.1000,1,0.9198,410
1,0,94415.3582,1628,1628,2.3000,0.0000,100,0.8897,4.1000,1,0.8897,410
1,0,83303.6241,1968,1968,2.3000,0.0000,100,0.9032,4.1000,1,0.9032,410
1,0,80394.8026,965,965,2.3000,0.0000,100,0.9099,4.1000,1,0.9099,410
0,0,24547.3122,2500000,5000,2.3000,0.0000,100,0.9473,4.1000,50,0.9312,410
0,0,24777.7911,2500000,5000,2.3000,0.0000,100,0.9330,4.1000,50,0.9060,410
1,0,27522.9647,33426,3426,2.3000,0.0000,100,0.9112,4.1000,7,0.9377,410
1,0,300183.1697,342,342,2.3000,0.0000,100,0.9006,4.1000,1,0.9006,410
1,0,125821.8936,1094,1094,2.3000,0.0000,100,0.9146,4.1000,1,0.9146,410
0,0,24466.3588,2500000,5000,2.3000,0.0000,100,0.9274,4.1000,50,0.9143,410
0,0,24347.8659,2450000,5000,2.3000,0.0000,100,0.9535,4.1000,49,0.8949,410
0,0,24704.1687,2500000,5000,2.3000,0.0000,100,0.9533,4.1000,50,0.9217,410
1,0,80635.0715,2117,2117,2.3000,0.0000,100,0.9208,4.1000,1,0.9208,410
1,0,229874.5226,328,328,2.3000,0.0000,100,0.8423,4.1000,1,0.8423,410
1,0,103029.0544,850,850,2.3000,0.0000,100,0.9123,4.1000,1,0.9123,410
1,0,60872.5903,1670,1670,2.3000,0.0000,100,0.9279,4.1000,1,0.9279,410
1,0,46056.4345,3300,3300,2.3000,0.0000,100,0.9459,4.1000,1,0.9459,410
1,0,600446.4924,105,105,2.3000,0.0000,100,0.8274,4.1000,1,0.8274,410
1,0,29674.7450,16927,1927,2.3000,0.0000,100,0.9009,4.1000,4,0.9313,410
1,0,275197.0914,388,388,2.3000,0.0000,100,0.9078,4.1000,1,0.9078,410
1,0,41461.2749,6589,1589,2.3000,0.0000,100,0.8888,4.1000,2,0.8965,410
1,0,140734.3495,959,959,2.3000,0.0000,100,0.9213,4.1000,1,0.9213,410
1,0,143095.6747,900,900,2.3000,0.0000,100,0.8935,4.1000,1,0.8935,410
1,0,42437.9451,6427,1427,2.3000,0.0000,100,0.9362,4.1000,2,0.9104,410
1,0,311602.0180,310,310,2.3000,0.0000,100,0.8655,4.1000,1,0.8655,410
0,0,23999.1835,2400000,5000,2.3000,0.0000,100,0.8835,4.1000,48,0.8783,410
1,0,87262.3711,1831,1831,2.3000,0.0000,100,0.9305,4.1000,1,0.9305,410
1,0,64138.9013,2930,2930,2.3000,0.0000,100,0.8567,4.1000,1,0.8567,410
1,0,123677.8324,1125,1125,2.3000,0.0000,100,0.8780,4.1000,1,0.8780,410
1,0,42002.9684,4497,4497,2.3000,0.0000,100,0.8570,4.1000,1,0.8570,410
1,0,537543.2078,130,130,2.3000,0.0000,100,0.8527,4.1000,1,0.8527,410
1,0,331220.0237,282,282,2.3000,0.0000,100,0.8418,4.1000,1,0.8418,410
1,0,261019.3337,396,396,2.3000,0.0000,100,0.8961,4.1000,1,0.8961,410
0,0,23952.1472,2450000,5000,2.3000,0.0000,100,0.9183,4.1000,49,0.9054,410
1,0,44275.3328,4462,4462,2.3000,0.0000,100,0.9142,4.1000,1,0.9142,410
1,0,43063.0539,6039,1039,2.3000,0.0000,100,0.8662,4.1000,2,0.8962,410
1,0,43199.1418,5986,986,2.3000,0.0000,100,0.9166,4.1000,2,0.9215,410
1,0,167909.0376,741,741,2.3000,0.0000,100,0.8992,4.1000,1,0.8992,410
1,0,334426.6144,290,290,2.3000,0.0000,100,0.9174,4.1000,1,0.9174,410
1,0,317779.3902,297,297,2.3000,0.0000,100,0.8395,4.1000,1,0.8395,410
1,0,101761.7464,1496,1496,2.3000,0.0000,100,0.8842,4.1000,1,0.8842,410
1,0,91774.6600,1632,1632,2.3000,0.0000,100,0.9408,4.1000,1,0.9408,410
0,0,24359.8573,2450000,5000,2.3000,0.0000,100,0.9400,4.1000,49,0.9061,410
1,0,52766.7231,4207,4207,2.3000,0.0000,100,0.8827,4.1000,1,0.8827,410
1,0,205361.1747,575,575,2.3000,0.0000,100,0.8841,4.1000,1,0.8841,410
1,0,55852.5149,2443,2443,2.3000,0.0000,100,0.9641,4.1000,1,0.9641,410
1,0,416664.9248,198,198,2.3000,0.0000,100,0.8030,4.1000,1,0.8030,410
1,0,239953.2268,264,264,2.3000,0.0000,100,0.8942,4.1000,1,0.8942,410
1,0,120751.1608,538,538,2.3000,0.0000,100,0.8561,4.1000,1,0.8561,410
1,0,119099.9819,497,497,2.3000,0.0000,100,0.8677,4.1000,1,0.8677,410
1,0,345443.3175,275,275,2.3000,0.0000,100,0.8416,4.1000,1,0.8416,410
