cb,ratio,flips,flipsPerSecond,lastRunEntropy,totalFlips,earlyRestarts,minEntropy,tries,entropy,variables,sat,clauses
2.3800,4.1000,24673,29654.6499,0.9310,49673,0,0.4000,2,1.0699,500,1,2050
2.3800,4.1000,5292,109024.8529,0.8851,5292,0,0.5000,1,0.8851,500,1,2050
2.3800,4.1000,7063,78958.3667,0.9223,7063,0,0.6500,1,0.9223,500,1,2050
2.3800,4.1000,17222,48974.1787,0.9072,17222,0,0.4500,1,0.9072,500,1,2050
2.3800,4.1000,24000,40794.5729,0.9276,24000,0,0.4500,1,0.9276,500,1,2050
2.3800,4.1000,10264,64244.8942,0.9162,10264,0,0.4000,1,0.9162,500,1,2050
2.3800,4.1000,22492,21277.5181,0.8910,297492,0,0.6500,12,1.1612,500,1,2050
2.3800,4.1000,6363,96214.1838,0.9082,6363,0,0.4500,1,0.9082,500,1,2050
2.3800,4.1000,16299,49819.1139,0.8629,16299,0,0.5500,1,0.8629,500,1,2050
2.3800,4.1000,13296,55264.7895,0.9209,13296,0,0.4500,1,0.9209,500,1,2050
2.3800,4.1000,18660,47823.9261,0.8515,18660,0,0.5500,1,0.8515,500,1,2050
2.3800,4.1000,16759,47782.3396,0.9097,16759,0,0.4000,1,0.9097,500,1,2050
2.3800,4.1000,21389,22833.3864,0.9376,171389,0,0.4000,7,1.1966,500,1,2050
2.3800,4.1000,18486,47814.0679,0.9323,18486,0,0.4000,1,0.9323,500,1,2050
2.3800,4.1000,7345,86967.1003,0.8891,7345,0,0.5000,1,0.8891,500,1,2050
2.3800,4.1000,11229,34161.8818,0.8967,36229,0,0.5500,2,1.0810,500,1,2050
2.3800,4.1000,6103,99141.0444,0.9015,6103,0,0.5000,1,0.9015,500,1,2050
2.3800,4.1000,14655,52050.9857,0.9256,14655,0,0.4000,1,0.9256,500,1,2050
2.3800,4.1000,14072,22800.7944,0.9175,164072,0,0.4500,7,1.1967,500,1,2050
2.3800,4.1000,16421,50313.5443,0.9213,16421,0,0.5000,1,0.9213,500,1,2050
2.3800,4.1000,17927,21967.8046,0.9213,267927,0,0.4000,11,1.1796,500,1,2050
2.3800,4.1000,3075,169462.0116,0.8985,3075,0,0.5500,1,0.8985,500,1,2050
2.3800,4.1000,3832,37117.5942,0.9119,28832,0,0.6000,2,1.0181,500,1,2050
2.3800,4.1000,23273,30700.8597,0.9241,48273,0,0.5000,2,1.1143,500,1,2050
2.3800,4.1000,12370,60493.4540,0.8990,12370,0,0.6500,1,0.8990,500,1,2050
2.3800,4.1000,11492,21442.5297,0.9445,336492,0,0.6000,14,1.1850,500,1,2050
2.3800,4.1000,11962,27737.1217,0.9235,61962,0,0.5000,3,1.1798,500,1,2050
2.3800,4.1000,23171,21676.9064,0.8927,298171,0,0.4000,12,1.2039,500,1,2050
2.3800,4.1000,12951,28329.6976,0.8665,62951,0,0.5500,3,1.0918,500,1,2050
2.3800,4.1000,11590,63013.4286,0.9035,11590,0,0.6000,1,0.9035,500,1,2050
2.3800,4.1000,3165,37722.6193,0.9014,28165,0,0.5000,2,1.0279,500,1,2050
2.3800,4.1000,13343,57164.6813,0.9360,13343,0,0.5000,1,0.9360,500,1,2050
2.3800,4.1000,15251,25646.8352,0.9376,90251,0,0.5000,4,1.1107,500,1,2050
2.3800,4.1000,21590,25358.2325,0.8736,96590,0,0.6000,4,1.1409,500,1,2050
2.3800,4.1000,10926,24016.1984,0.9366,135926,0,0.5500,6,1.1768,500,1,2050
2.3800,4.1000,12021,27852.9314,0.9381,62021,0,0.4500,3,1.0613,500,1,2050
2.3800,4.1000,15866,27959.0482,0.8955,65866,0,0.4500,3,1.1341,500,1,2050
2.3800,4.1000,12055,61999.7561,0.9209,12055,0,0.6000,1,0.9209,500,1,2050
