minEntropy,clauses,ratio,flipsPerSecond,flips,tries,earlyRestarts,totalFlips,entropy,lastRunEntropy,variables,sat,cb
0.0000,2050,4.1000,143708.2301,4246,1,0,4246,0.8949,0.8949,500,1,2.3800
0.0000,2050,4.1000,25529.2620,23660,8,0,198660,1.2215,0.9276,500,1,2.3800
0.0000,2050,4.1000,67642.6228,12385,1,0,12385,0.9189,0.9189,500,1,2.3800
0.0000,2050,4.1000,52595.3663,18591,1,0,18591,0.9391,0.9391,500,1,2.3800
0.0000,2050,4.1000,24113.2994,25000,20,0,5000000,1.1861,1.2530,500,0,2.3800
0.0000,2050,4.1000,89954.7426,8022,1,0,8022,0.9267,0.9267,500,1,2.3800
0.0000,2050,4.1000,24225.9240,25000,20,0,5000000,1.1376,1.2261,500,0,2.3800
0.0000,2050,4.1000,78046.9023,10268,1,0,10268,0.8921,0.8921,500,1,2.3800
0.0000,2050,4.1000,28832.8948,21793,4,0,96793,1.1557,0.9360,500,1,2.3800
0.0000,2050,4.1000,51529.1566,20277,1,0,20277,0.9083,0.9083,500,1,2.3800
0.0000,2050,4.1000,23907.7305,25000,20,0,5000000,1.2005,1.1832,500,0,2.3800
0.0000,2050,4.1000,52277.9328,19523,1,0,19523,0.9287,0.9287,500,1,2.3800
0.0000,2050,4.1000,67034.3304,12695,1,0,12695,0.9088,0.9088,500,1,2.3800
0.0000,2050,4.1000,29147.1585,13274,4,0,88274,1.1318,0.9202,500,1,2.3800
0.0000,2050,4.1000,24148.2726,25000,20,0,5000000,1.1732,1.2128,500,0,2.3800
0.0000,2050,4.1000,94787.0562,7632,1,0,7632,0.8860,0.8860,500,1,2.3800
0.0000,2050,4.1000,31195.3235,18096,3,0,68096,1.0544,0.9273,500,1,2.3800
0.0000,2050,4.1000,27516.8536,19635,5,0,119635,1.1414,0.8542,500,1,2.3800
0.0000,2050,4.1000,28812.1847,19859,4,0,94859,1.0664,0.9169,500,1,2.3800
0.0000,2050,4.1000,102758.5846,6875,1,0,6875,0.8945,0.8945,500,1,2.3800
0.0000,2050,4.1000,85563.8310,8791,1,0,8791,0.9097,0.9097,500,1,2.3800
0.0000,2050,4.1000,80834.1484,9573,1,0,9573,0.9209,0.9209,500,1,2.3800
0.0000,2050,4.1000,24073.7429,25000,20,0,5000000,1.1818,1.3334,500,0,2.3800
0.0000,2050,4.1000,24017.3700,25000,20,0,5000000,1.1877,1.3474,500,0,2.3800
0.0000,2050,4.1000,30736.7676,19815,3,0,69815,1.1428,0.9170,500,1,2.3800
0.0000,2050,4.1000,89648.7020,8224,1,0,8224,0.9323,0.9323,500,1,2.3800
0.0000,2050,4.1000,24595.0697,15849,14,0,340849,1.2404,0.9372,500,1,2.3800
0.0000,2050,4.1000,29805.0941,6800,4,0,81800,1.1534,0.8829,500,1,2.3800
0.0000,2050,4.1000,27168.5780,11173,6,0,136173,1.2000,0.9210,500,1,2.3800
0.0000,2050,4.1000,107422.1203,6286,1,0,6286,0.8997,0.8997,500,1,2.3800
0.0000,2050,4.1000,156699.2318,3482,1,0,3482,0.8994,0.8994,500,1,2.3800
0.0000,2050,4.1000,71998.5272,11388,1,0,11388,0.8584,0.8584,500,1,2.3800
0.0000,2050,4.1000,34552.4203,21961,2,0,46961,1.1394,0.9352,500,1,2.3800
0.0000,2050,4.1000,118210.0612,5607,1,0,5607,0.9312,0.9312,500,1,2.3800
