sat,clauses,flips,variables,earlyRestarts,tries,flipsPerSecond,entropy,lastRunEntropy,totalFlips,ratio,minEntropy,cb
0,2100,25000,500,0,20,24550.3287,0.9295,0.9776,5000000,4.2000,0.0000,1.2000
0,2100,25000,500,0,20,24945.0262,0.7400,0.7901,5000000,4.2000,0.0000,4.4000
0,2100,25000,500,0,20,24615.6577,0.9290,0.9778,5000000,4.2000,0.0000,1.0000
0,2100,25000,500,0,20,24631.8602,0.9316,0.9792,5000000,4.2000,0.0000,0.9000
1,2100,7971,500,0,8,27048.3290,0.8015,0.8099,182971,4.2000,0.0000,3.7000
0,2100,25000,500,0,20,24674.8094,0.9327,0.9823,5000000,4.2000,0.0000,1.0000
1,2100,19438,500,0,1,54103.2109,0.9356,0.9356,19438,4.2000,0.0000,2.2000
1,2100,13868,500,0,2,38115.8978,0.8995,0.9028,38868,4.2000,0.0000,2.3000
1,2100,23967,500,0,1,45341.5697,0.8248,0.8248,23967,4.2000,0.0000,3.7000
1,2100,14554,500,0,7,26782.8696,0.8540,0.8561,164554,4.2000,0.0000,3.3000
1,2100,9137,500,0,8,26472.8795,0.8639,0.8629,184137,4.2000,0.0000,2.8000
0,2100,25000,500,0,20,24637.2189,0.7588,0.7979,5000000,4.2000,0.0000,3.6000
0,2100,25000,500,0,20,24690.2243,0.8565,0.9369,5000000,4.2000,0.0000,2.9000
0,2100,25000,500,0,20,24733.3342,0.8642,0.9382,5000000,4.2000,0.0000,2.8000
0,2100,25000,500,0,20,24306.8103,0.9350,0.9843,5000000,4.2000,0.0000,0.1000
1,2100,20317,500,0,14,25423.7931,0.7631,0.7076,345317,4.2000,0.0000,4.7000
0,2100,25000,500,0,20,24120.4112,0.8218,0.8969,5000000,4.2000,0.0000,3.2000
0,2100,25000,500,0,20,24698.4982,0.7640,0.7976,5000000,4.2000,0.0000,4.2000
1,2100,10169,500,0,1,78769.9001,0.8247,0.8247,10169,4.2000,0.0000,3.8000
1,2100,10192,500,0,5,27998.6397,0.7214,0.7761,110192,4.2000,0.0000,4.2000
0,2100,25000,500,0,20,24365.8600,0.9064,0.9630,5000000,4.2000,0.0000,2.1000
1,2100,20541,500,0,3,31513.5323,0.9664,0.9620,70541,4.2000,0.0000,1.7000
0,2100,25000,500,0,20,24538.9269,0.7551,0.7712,5000000,4.2000,0.0000,4.0000
1,2100,17571,500,0,3,31785.1204,0.7782,0.7670,67571,4.2000,0.0000,4.5000
0,2100,25000,500,0,20,24022.1888,0.9354,0.9850,5000000,4.2000,0.0000,0.1000
0,2100,25000,500,0,20,24424.3669,0.9080,0.9510,5000000,4.2000,0.0000,2.0000
0,2100,25000,500,0,20,24514.0466,0.9266,0.9752,5000000,4.2000,0.0000,1.4000
1,2100,9066,500,0,8,27157.3852,0.8047,0.8317,184066,4.2000,0.0000,4.0000
0,2100,25000,500,0,21,25031.6000,0.7178,0.7343,5250000,4.2000,0.0000,4.6000
1,2100,10488,500,0,14,25347.6039,0.7059,0.7458,335488,4.2000,0.0000,4.7000
1,2100,2573,500,0,1,217096.6270,0.8509,0.8509,2573,4.2000,0.0000,3.1000
0,2100,25000,500,0,20,24386.4454,0.9299,0.9783,5000000,4.2000,0.0000,1.0000
1,2100,23885,500,0,4,29632.3469,0.6129,0.7814,98885,4.2000,0.0000,4.2000
1,2100,8241,500,0,2,40508.2894,0.9368,0.9377,33241,4.2000,0.0000,2.3000
1,2100,15763,500,0,2,36736.9833,0.9365,0.9374,40763,4.2000,0.0000,2.2000
1,2100,21307,500,0,4,29259.4487,0.9378,0.9442,96307,4.2000,0.0000,2.3000
0,2100,25000,500,0,20,24305.0722,0.9327,0.9804,5000000,4.2000,0.0000,0.4000
1,2100,14516,500,0,1,62959.6575,0.7596,0.7596,14516,4.2000,0.0000,2.9000
