flipsPerSecond,minEntropy,totalFlips,ratio,entropy,lastRunEntropy,earlyRestarts,flips,cb,variables,tries,sat,clauses
21190.7377,0.6000,4250000,4.2000,0.9328,0.9627,0,25000,2.3800,500,17,0,2100
21230.1000,0.5000,4500000,4.2000,1.1832,1.1426,0,25000,2.3800,500,18,0,2100
21183.2294,0.6000,4250000,4.2000,1.1974,1.2313,0,25000,2.3800,500,17,0,2100
23130.6733,0.4000,166943,4.2000,1.1960,0.9020,0,16943,2.3800,500,7,1,2100
21788.9236,0.4500,270778,4.2000,1.2082,0.9233,0,20778,2.3800,500,11,1,2100
37051.9877,0.6500,29231,4.2000,1.1080,0.9206,0,4231,2.3800,500,2,1,2100
21126.3974,0.5000,4250000,4.2000,1.1345,1.1977,0,25000,2.3800,500,17,0,2100
100683.6956,0.4500,5877,4.2000,0.9104,0.9104,0,5877,2.3800,500,1,1,2100
21249.4463,0.5500,4250000,4.2000,1.1478,1.2102,0,25000,2.3800,500,17,0,2100
21296.3799,0.5000,4500000,4.2000,1.1318,1.2071,0,25000,2.3800,500,18,0,2100
21444.9303,0.4500,336206,4.2000,1.2283,0.8851,0,11206,2.3800,500,14,1,2100
21399.6526,0.6000,4500000,4.2000,1.1095,1.1989,0,25000,2.3800,500,18,0,2100
50457.6055,0.5000,16402,4.2000,0.9305,0.9305,0,16402,2.3800,500,1,1,2100
21221.9914,0.5500,4250000,4.2000,1.1972,1.3172,0,25000,2.3800,500,17,0,2100
23457.6189,0.6000,149297,4.2000,1.1623,0.9410,0,24297,2.3800,500,6,1,2100
26018.3174,0.6500,86242,4.2000,1.0887,0.9366,0,11242,2.3800,500,4,1,2100
21188.3166,0.4000,4250000,4.2000,1.1542,0.9485,0,25000,2.3800,500,17,0,2100
21199.2859,0.5500,4250000,4.2000,1.1292,1.2678,0,25000,2.3800,500,17,0,2100
24483.2419,0.5000,117383,4.2000,1.1192,0.8906,0,17383,2.3800,500,5,1,2100
21195.0972,0.5500,4500000,4.2000,1.1284,1.2370,0,25000,2.3800,500,18,0,2100
21364.2858,0.4000,4500000,4.2000,1.1695,1.3164,0,25000,2.3800,500,18,0,2100
23361.0679,0.6500,147800,4.2000,1.1726,0.9306,0,22800,2.3800,500,6,1,2100
32642.5146,0.5000,40191,4.2000,1.0805,0.9435,0,15191,2.3800,500,2,1,2100
27634.4352,0.6500,67102,4.2000,1.0623,0.9315,0,17102,2.3800,500,3,1,2100
21228.4037,0.5000,4250000,4.2000,1.1056,1.1191,0,25000,2.3800,500,17,0,2100
30319.9036,0.5500,49199,4.2000,1.0662,0.9292,0,24199,2.3800,500,2,1,2100
27587.1620,0.4000,66881,4.2000,1.1532,0.9176,0,16881,2.3800,500,3,1,2100
31708.6751,0.5000,41698,4.2000,1.1087,0.9169,0,16698,2.3800,500,2,1,2100
22714.7022,0.4000,172258,4.2000,1.2006,0.9461,0,22258,2.3800,500,7,1,2100
21179.1757,0.4500,4500000,4.2000,1.0890,1.1923,0,25000,2.3800,500,18,0,2100
53679.0537,0.5500,14708,4.2000,0.9172,0.9172,0,14708,2.3800,500,1,1,2100
21239.4562,0.5500,4250000,4.2000,1.1572,1.3141,0,25000,2.3800,500,17,0,2100
21082.2684,0.6500,4250000,4.2000,1.1614,1.3160,0,25000,2.3800,500,17,0,2100
27698.7039,0.6500,65746,4.2000,1.1305,0.9277,0,15746,2.3800,500,3,1,2100
21253.8912,0.6500,4500000,4.2000,1.1731,1.3252,0,25000,2.3800,500,18,0,2100
21166.4066,0.6000,4250000,4.2000,1.1546,1.2145,0,25000,2.3800,500,17,0,2100
21170.5815,0.5000,4250000,4.2000,1.1712,1.3200,0,25000,2.3800,500,17,0,2100
21253.7224,0.5000,4500000,4.2000,1.1513,1.1905,0,25000,2.3800,500,18,0,2100
23285.5191,0.5000,143623,4.2000,1.2113,0.9271,0,18623,2.3800,500,6,1,2100
85098.8860,0.5000,7448,4.2000,0.9121,0.9121,0,7448,2.3800,500,1,1,2100
21212.5353,0.4000,4250000,4.2000,1.1592,1.2309,0,25000,2.3800,500,17,0,2100
93594.9767,0.6500,6427,4.2000,0.9005,0.9005,0,6427,2.3800,500,1,1,2100
54537.0688,0.5000,13800,4.2000,0.9113,0.9113,0,13800,2.3800,500,1,1,2100
40207.8681,0.5000,23925,4.2000,0.9072,0.9072,0,23925,2.3800,500,1,1,2100
21188.2874,0.4500,4250000,4.2000,1.1914,1.2088,0,25000,2.3800,500,17,0,2100
24550.5717,0.5500,114233,4.2000,1.2010,0.9363,0,14233,2.3800,500,5,1,2100
26726.4093,0.5000,69311,4.2000,1.1066,0.9188,0,19311,2.3800,500,3,1,2100
21096.8020,0.6000,4250000,4.2000,1.1053,1.1706,0,25000,2.3800,500,17,0,2100
67143.8847,0.4000,10293,4.2000,0.9275,0.9275,0,10293,2.3800,500,1,1,2100
31063.4963,0.4000,45190,4.2000,1.0807,0.9493,0,20190,2.3800,500,2,1,2100
24253.5455,0.4500,113970,4.2000,1.2000,0.9174,0,13970,2.3800,500,5,1,2100
21891.1416,0.6500,270819,4.2000,1.2030,0.9304,0,20819,2.3800,500,11,1,2100
79094.9681,0.4500,8161,4.2000,0.9037,0.9037,0,8161,2.3800,500,1,1,2100
21417.6832,0.4000,4500000,4.2000,1.0063,1.1261,0,25000,2.3800,500,18,0,2100
77790.7998,0.5000,8588,4.2000,0.8992,0.8992,0,8588,2.3800,500,1,1,2100
21231.1227,0.6000,4250000,4.2000,1.1539,1.1855,0,25000,2.3800,500,17,0,2100
21162.4878,0.6500,4250000,4.2000,1.1146,1.2250,0,25000,2.3800,500,17,0,2100
104009.5542,0.6500,5683,4.2000,0.8989,0.8989,0,5683,2.3800,500,1,1,2100
65625.4477,0.5000,10331,4.2000,0.8918,0.8918,0,10331,2.3800,500,1,1,2100
23344.3388,0.6000,146329,4.2000,1.1706,0.8747,0,21329,2.3800,500,6,1,2100
240866.4344,0.6500,1877,4.2000,0.9095,0.9095,0,1877,2.3800,500,1,1,2100
21183.3576,0.6000,4250000,4.2000,1.1611,1.2348,0,25000,2.3800,500,17,0,2100
83461.7019,0.6500,7643,4.2000,0.9105,0.9105,0,7643,2.3800,500,1,1,2100
21280.2077,0.4000,408481,4.2000,1.2379,0.9116,0,8481,2.3800,500,17,1,2100
21648.5611,0.4500,281286,4.2000,1.2079,0.9012,0,6286,2.3800,500,12,1,2100
20978.1943,0.4000,4250000,4.2000,1.1682,1.2123,0,25000,2.3800,500,17,0,2100
20989.4690,0.6000,4250000,4.2000,1.1324,1.1543,0,25000,2.3800,500,17,0,2100
28229.8341,0.5000,59801,4.2000,1.1774,0.9125,0,9801,2.3800,500,3,1,2100
33620.4221,0.4000,36504,4.2000,1.0080,0.9301,0,11504,2.3800,500,2,1,2100
21467.1836,0.4000,324645,4.2000,1.1709,0.9194,0,24645,2.3800,500,13,1,2100
