totalFlips,lastRunEntropy,tries,earlyRestarts,variables,flipsPerSecond,entropy,flips,cb,minEntropy,ratio,sat,clauses
5716,0.9040,1,0,500,97124.6402,0.9040,5716,2.3800,0.0000,4.2000,1,2100
157033,0.9193,7,0,500,26353.8628,1.2073,7033,2.3800,0.0000,4.2000,1,2100
270881,0.9166,11,0,500,24917.3838,1.2129,20881,2.3800,0.0000,4.2000,1,2100
48064,0.8939,2,0,500,35292.6968,1.0478,23064,2.3800,0.0000,4.2000,1,2100
62183,0.9131,3,0,500,32395.4333,1.1126,12183,2.3800,0.0000,4.2000,1,2100
444316,0.8951,18,0,500,24514.1533,1.1961,19316,2.3800,0.0000,4.2000,1,2100
80737,0.8963,4,0,500,30043.7821,1.0431,5737,2.3800,0.0000,4.2000,1,2100
19493,0.9252,1,0,500,53262.7627,0.9252,19493,2.3800,0.0000,4.2000,1,2100
14727,0.8937,1,0,500,62693.7895,0.8937,14727,2.3800,0.0000,4.2000,1,2100
12875,0.8860,1,0,500,65876.6617,0.8860,12875,2.3800,0.0000,4.2000,1,2100
138376,0.9283,6,0,500,26789.1278,1.1470,13376,2.3800,0.0000,4.2000,1,2100
5000000,1.2409,20,0,500,24057.8071,1.0932,25000,2.3800,0.0000,4.2000,0,2100
17705,0.9248,1,0,500,56368.1702,0.9248,17705,2.3800,0.0000,4.2000,1,2100
344672,0.9469,14,0,500,24895.0793,1.1885,19672,2.3800,0.0000,4.2000,1,2100
5000000,1.2619,20,0,500,24269.3519,1.1663,25000,2.3800,0.0000,4.2000,0,2100
245270,0.9086,10,0,500,25671.8271,1.1992,20270,2.3800,0.0000,4.2000,1,2100
5000000,1.2076,20,0,500,24026.2936,1.0783,25000,2.3800,0.0000,4.2000,0,2100
12204,0.9334,1,0,500,69539.9588,0.9334,12204,2.3800,0.0000,4.2000,1,2100
138988,0.9404,6,0,500,27248.8391,1.1760,13988,2.3800,0.0000,4.2000,1,2100
390325,0.8898,16,0,500,24616.3172,1.1761,15325,2.3800,0.0000,4.2000,1,2100
5000000,1.2330,20,0,500,24240.5421,1.1449,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.2439,20,0,500,24245.0571,1.1612,25000,2.3800,0.0000,4.2000,0,2100
32551,0.8978,2,0,500,40808.6157,1.0630,7551,2.3800,0.0000,4.2000,1,2100
30432,0.8988,2,0,500,41952.5836,1.0265,5432,2.3800,0.0000,4.2000,1,2100
119849,0.9306,5,0,500,28077.1090,1.1760,19849,2.3800,0.0000,4.2000,1,2100
348655,0.9375,14,0,500,24520.7268,1.1831,23655,2.3800,0.0000,4.2000,1,2100
5000000,0.9606,20,0,500,24419.1294,1.0966,25000,2.3800,0.0000,4.2000,0,2100
