sat,ratio,cb,tries,clauses,flips,variables,entropy,earlyRestarts,totalFlips,flipsPerSecond,lastRunEntropy
0,4.0000,0.0000,29,2000,25000,500,0.9476,0,7250000,24082.9558,0.9813
0,4.0000,0.0000,30,2000,25000,500,0.9495,0,7500000,24255.8809,0.9822
0,4.0000,0.0000,30,2000,25000,500,0.9467,0,7500000,24218.5492,0.9781
0,4.0000,0.0000,29,2000,25000,500,0.9480,0,7250000,24152.8003,0.9820
0,4.0000,0.0000,29,2000,25000,500,0.9459,0,7250000,24099.0223,0.9795
0,4.0000,0.0000,29,2000,25000,500,0.9477,0,7250000,24067.5801,0.9810
0,4.0000,0.0000,30,2000,25000,500,0.9505,0,7500000,24142.5071,0.9830
0,4.0000,0.0000,30,2000,25000,500,0.9491,0,7500000,24167.6245,0.9819
0,4.0000,0.0000,30,2000,25000,500,0.9490,0,7500000,24298.3314,0.9817
0,4.0000,0.0000,30,2000,25000,500,0.9490,0,7500000,24299.1861,0.9829
0,4.0000,0.0000,30,2000,25000,500,0.9467,0,7500000,24188.0977,0.9799
0,4.0000,0.0000,29,2000,25000,500,0.9439,0,7250000,24155.3821,0.9770
0,4.0000,0.0000,30,2000,25000,500,0.9491,0,7500000,24186.4054,0.9817
0,4.0000,0.0000,29,2000,25000,500,0.9475,0,7250000,24039.3898,0.9814
0,4.0000,0.0000,30,2000,25000,500,0.9486,0,7500000,24213.1133,0.9808
0,4.0000,0.0000,30,2000,25000,500,0.9499,0,7500000,24223.4291,0.9825
0,4.0000,0.0000,29,2000,25000,500,0.9459,0,7250000,24061.7294,0.9790
0,4.0000,0.0000,30,2000,25000,500,0.9499,0,7500000,24211.8353,0.9835
0,4.0000,0.0000,30,2000,25000,500,0.9466,0,7500000,24303.9851,0.9777
0,4.0000,0.0000,30,2000,25000,500,0.9517,0,7500000,24293.6454,0.9842
0,4.0000,0.0000,30,2000,25000,500,0.9482,0,7500000,24174.2080,0.9810
0,4.0000,0.0000,30,2000,25000,500,0.9480,0,7500000,24348.2731,0.9806
0,4.0000,0.0000,29,2000,25000,500,0.9472,0,7250000,24154.4579,0.9816
0,4.0000,0.0000,30,2000,25000,500,0.9494,0,7500000,24236.9077,0.9822
0,4.0000,0.0000,29,2000,25000,500,0.9456,0,7250000,24157.8899,0.9790
0,4.0000,0.0000,30,2000,25000,500,0.9495,0,7500000,24233.8525,0.9824
0,4.0000,0.0000,30,2000,25000,500,0.9490,0,7500000,24390.5590,0.9817
0,4.0000,0.0000,30,2000,25000,500,0.9484,0,7500000,24189.7109,0.9813
0,4.0000,0.0000,30,2000,25000,500,0.9464,0,7500000,24197.3177,0.9787
0,4.0000,0.0000,30,2000,25000,500,0.9493,0,7500000,24216.2109,0.9820
0,4.0000,0.0000,30,2000,25000,500,0.9493,0,7500000,24273.2210,0.9821
0,4.0000,0.0000,29,2000,25000,500,0.9476,0,7250000,24069.8618,0.9812
0,4.0000,0.0000,30,2000,25000,500,0.9486,0,7500000,24253.1639,0.9814
0,4.0000,0.0000,30,2000,25000,500,0.9516,0,7500000,24246.5842,0.9849
0,4.0000,0.0000,30,2000,25000,500,0.9495,0,7500000,24243.8702,0.9816
0,4.0000,0.0000,30,2000,25000,500,0.9493,0,7500000,24343.5966,0.9822
0,4.0000,0.0000,30,2000,25000,500,0.9489,0,7500000,24379.9394,0.9819
0,4.0000,0.0000,30,2000,25000,500,0.9493,0,7500000,24387.6097,0.9817
0,4.0000,0.0000,30,2000,25000,500,0.9471,0,7500000,24208.5682,0.9803
0,4.0000,0.0000,29,2000,25000,500,0.9476,0,7250000,24087.7951,0.9829
0,4.0000,0.0000,29,2000,25000,500,0.9464,0,7250000,24053.8923,0.9803
0,4.0000,0.0000,30,2000,25000,500,0.9502,0,7500000,24172.9120,0.9825
0,4.0000,0.0000,30,2000,25000,500,0.9474,0,7500000,24187.7213,0.9801
0,4.0000,0.0000,29,2000,25000,500,0.9461,0,7250000,24045.7900,0.9802
0,4.0000,0.0000,30,2000,25000,500,0.9493,0,7500000,24234.4419,0.9818
0,4.0000,0.0000,29,2000,25000,500,0.9467,0,7250000,24104.3388,0.9804
0,4.0000,0.0000,29,2000,25000,500,0.9476,0,7250000,24104.5448,0.9821
0,4.0000,0.0000,30,2000,25000,500,0.9495,0,7500000,24195.2976,0.9823
0,4.0000,0.0000,29,2000,25000,500,0.9469,0,7250000,24078.4280,0.9817
0,4.0000,0.0000,30,2000,25000,500,0.9487,0,7500000,24227.2379,0.9811
0,4.0000,0.0000,30,2000,25000,500,0.9493,0,7500000,24231.8338,0.9815
0,4.0000,0.0000,30,2000,25000,500,0.9489,0,7500000,24248.5723,0.9818
0,4.0000,0.0000,29,2000,25000,500,0.9459,0,7250000,23820.8843,0.9799
0,4.0000,0.0000,29,2000,25000,500,0.9470,0,7250000,23976.8679,0.9809
0,4.0000,0.0000,29,2000,25000,500,0.9503,0,7250000,24069.6086,0.9849
0,4.0000,0.0000,30,2000,25000,500,0.9470,0,7500000,24142.7906,0.9813
0,4.0000,0.0000,30,2000,25000,500,0.9480,0,7500000,24174.4598,0.9794
0,4.0000,0.0000,30,2000,25000,500,0.9488,0,7500000,24218.6627,0.9820
0,4.0000,0.0000,29,2000,25000,500,0.9480,0,7250000,24092.7762,0.9832
0,4.0000,0.0000,30,2000,25000,500,0.9475,0,7500000,24247.0961,0.9823
0,4.0000,0.0000,30,2000,25000,500,0.9487,0,7500000,24195.2213,0.9803
0,4.0000,0.0000,30,2000,25000,500,0.9486,0,7500000,24209.3608,0.9824
0,4.0000,0.0000,30,2000,25000,500,0.9463,0,7500000,24188.3853,0.9792
0,4.0000,0.0000,30,2000,25000,500,0.9479,0,7500000,24249.2818,0.9805
0,4.0000,0.0000,30,2000,25000,500,0.9459,0,7500000,24190.5945,0.9783
0,4.0000,0.0000,29,2000,25000,500,0.9462,0,7250000,23817.6086,0.9800
0,4.0000,0.0000,29,2000,25000,500,0.9483,0,7250000,24068.7492,0.9818
0,4.0000,0.0000,29,2000,25000,500,0.9492,0,7250000,24127.0505,0.9825
0,4.0000,0.0000,30,2000,25000,500,0.9474,0,7500000,24199.1517,0.9799
0,4.0000,0.0000,30,2000,25000,500,0.9497,0,7500000,24185.1727,0.9824
0,4.0000,0.0000,29,2000,25000,500,0.9468,0,7250000,23896.9119,0.9808
0,4.0000,0.0000,30,2000,25000,500,0.9497,0,7500000,24200.2186,0.9822
0,4.0000,0.0000,29,2000,25000,500,0.9467,0,7250000,24018.4083,0.9793
0,4.0000,0.0000,29,2000,25000,500,0.9468,0,7250000,23954.0787,0.9811
0,4.0000,0.0000,29,2000,25000,500,0.9481,0,7250000,24082.5506,0.9808
0,4.0000,0.0000,29,2000,25000,500,0.9463,0,7250000,23971.2934,0.9809
0,4.0000,0.0000,29,2000,25000,500,0.9469,0,7250000,24157.6317,0.9803
0,4.0000,0.0000,30,2000,25000,500,0.9496,0,7500000,24227.1267,0.9832
0,4.0000,0.0000,29,2000,25000,500,0.9467,0,7250000,24160.7487,0.9797
0,4.0000,0.0000,30,2000,25000,500,0.9498,0,7500000,24221.8538,0.9819
0,4.0000,0.0000,30,2000,25000,500,0.9493,0,7500000,24173.9886,0.9824
0,4.0000,0.0000,29,2000,25000,500,0.9473,0,7250000,24130.2790,0.9798
0,4.0000,0.0000,29,2000,25000,500,0.9483,0,7250000,24063.3330,0.9823
0,4.0000,0.0000,29,2000,25000,500,0.9482,0,7250000,24006.2525,0.9825
0,4.0000,0.0000,29,2000,25000,500,0.9458,0,7250000,23987.2824,0.9788
0,4.0000,0.0000,30,2000,25000,500,0.9503,0,7500000,24498.4461,0.9837
0,4.0000,0.0000,30,2000,25000,500,0.9483,0,7500000,24180.2925,0.9810
0,4.0000,0.0000,30,2000,25000,500,0.9495,0,7500000,24379.5691,0.9821
0,4.0000,0.0000,29,2000,25000,500,0.9468,0,7250000,24146.6482,0.9806
0,4.0000,0.0000,30,2000,25000,500,0.9478,0,7500000,24269.2865,0.9804
0,4.0000,0.0000,29,2000,25000,500,0.9465,0,7250000,24153.0376,0.9809
0,4.0000,0.0000,30,2000,25000,500,0.9483,0,7500000,24228.1957,0.9808
0,4.0000,0.0000,30,2000,25000,500,0.9486,0,7500000,24192.8333,0.9824
0,4.0000,0.0000,30,2000,25000,500,0.9458,0,7500000,24197.7249,0.9800
0,4.0000,0.0000,29,2000,25000,500,0.9479,0,7250000,24155.8912,0.9816
0,4.0000,0.0000,30,2000,25000,500,0.9488,0,7500000,24240.4430,0.9815
0,4.0000,0.0000,30,2000,25000,500,0.9485,0,7500000,24384.5296,0.9812
0,4.0000,0.0000,30,2000,25000,500,0.9494,0,7500000,24235.8048,0.9824
0,4.0000,0.0000,30,2000,25000,500,0.9470,0,7500000,24151.1724,0.9794
0,4.0000,0.0000,30,2000,25000,500,0.9506,0,7500000,24480.6803,0.9839
0,4.0000,0.0000,29,2000,25000,500,0.9450,0,7250000,24151.4858,0.9798
0,4.0000,0.0000,30,2000,25000,500,0.9502,0,7500000,24412.0458,0.9824
0,4.0000,0.0000,30,2000,25000,500,0.9480,0,7500000,24214.4493,0.9800
0,4.0000,0.0000,30,2000,25000,500,0.9470,0,7500000,24143.9565,0.9791
0,4.0000,0.0000,30,2000,25000,500,0.9467,0,7500000,24289.1304,0.9790
0,4.0000,0.0000,30,2000,25000,500,0.9518,0,7500000,24227.4574,0.9849
0,4.0000,0.0000,30,2000,25000,500,0.9503,0,7500000,24217.5679,0.9835
0,4.0000,0.0000,30,2000,25000,500,0.9513,0,7500000,24345.9828,0.9843
0,4.0000,0.0000,30,2000,25000,500,0.9485,0,7500000,24283.7146,0.9819
